MAR,SCHL,SEX,RAC1P,WKWN,WKHP,AGEP,WAGP
3,16,1,1,,,25,0
5,20,1,1,2,25,21,3000
5,18,1,1,1,16,18,5700
5,19,2,1,5,20,19,18300
2,17,2,1,,,89,0
5,20,1,1,20,20,20,14000
5,11,1,1,26,44,17,6000
1,19,2,1,,,77,0
1,21,1,6,52,60,64,30000
5,16,2,1,,,55,0
5,18,2,1,52,40,25,29000
5,18,1,1,52,20,71,13300
5,18,1,8,52,40,26,26000
1,14,1,1,,,76,0
5,16,1,2,,,61,0
3,19,2,1,,,48,0
5,17,1,1,,,42,0
5,16,1,1,,,51,0
2,16,2,1,,,80,0
3,16,2,1,,,93,0
5,16,2,1,,,85,0
3,16,2,1,,,74,0
1,21,1,1,,,93,0
5,16,2,1,,,76,0
5,11,1,8,,,15,0
3,22,2,1,,,79,0
5,17,1,9,,,34,0
5,16,1,1,,,21,0
5,22,2,6,,,76,0
5,16,1,6,,,20,0
5,19,2,8,52,9,22,1600
5,16,1,2,,,40,0
5,19,2,1,,,61,0
5,16,1,8,52,40,20,29000
5,16,1,1,1,2,21,420
2,16,2,1,,,93,0
5,21,1,1,52,40,25,30000
5,22,1,1,,,68,0
5,16,1,2,26,25,24,5700
5,20,1,1,16,10,19,2000
2,14,2,1,,,80,0
5,16,1,5,52,50,20,21000
1,18,1,1,,,41,0
1,16,2,1,,,81,0
1,16,2,1,,,75,0
2,16,2,1,,,47,0
5,16,1,1,,,31,0
5,19,1,1,52,40,46,8000
5,18,2,1,,,72,0
5,19,1,3,,,68,0
5,22,1,1,,,68,0
5,18,2,6,52,10,18,6000
5,16,1,1,1,16,20,960
5,19,2,1,,,22,0
1,19,2,1,,,71,0
2,10,1,1,,,84,0
5,17,1,1,,,51,0
5,17,2,2,,,62,0
2,21,2,1,,,93,0
5,16,2,8,52,60,24,22000
5,18,1,1,1,10,19,840
5,12,1,1,26,44,17,6000
5,16,1,1,,,76,0
5,19,1,1,1,12,21,530
2,20,1,1,,,70,0
1,16,1,1,52,40,32,360
5,16,2,1,1,10,18,1400
2,18,2,1,,,81,0
5,16,1,6,52,40,21,21000
5,16,2,2,20,25,19,5000
1,19,1,1,,,93,0
3,16,2,1,,,93,0
3,19,1,1,,,78,0
2,9,1,8,52,40,26,25000
5,18,1,9,52,32,21,20400
5,16,1,1,26,40,35,31200
5,12,1,1,,,62,0
2,22,2,1,,,88,0
5,19,1,1,30,20,21,12700
5,16,1,1,52,30,18,15700
5,18,2,9,1,22,18,10500
5,19,1,1,2,40,20,11000
5,17,1,9,8,40,21,6000
2,19,2,1,,,86,0
5,21,1,1,5,45,35,2300
2,16,2,1,,,93,0
3,20,2,1,52,35,53,32000
5,19,1,1,,,49,0
5,21,2,6,,,23,0
2,16,2,1,,,79,0
5,18,2,1,,,19,0
5,21,1,1,52,50,25,23000
5,22,1,1,,,76,0
5,15,1,9,,,31,0
5,19,1,1,26,20,20,10000
5,19,1,9,2,12,20,2000
5,1,1,8,52,40,28,15000
5,19,2,9,12,20,19,3500
5,5,1,8,,,69,0
5,19,2,1,16,30,19,4200
1,16,2,6,,,64,0
1,16,2,1,,,74,0
2,19,1,1,,,87,0
5,16,1,9,52,40,20,22000
3,17,1,1,,,28,0
2,17,2,1,,,74,0
3,17,1,9,24,25,51,4000
2,16,2,9,,,93,0
5,18,2,1,4,6,18,1900
5,20,2,1,32,40,19,6100
5,16,2,6,,,19,0
5,20,1,1,,,23,0
5,19,2,1,40,1,20,540
3,17,1,1,,,36,0
4,16,2,2,52,40,34,28500
5,13,1,1,,,58,0
5,17,1,1,52,40,39,20000
2,16,2,1,,,93,0
5,16,1,1,,,31,0
5,16,2,1,52,40,20,20000
5,18,1,1,1,20,18,3800
5,19,2,1,,,19,0
3,14,1,1,,,67,0
3,19,1,1,,,55,0
1,21,2,6,52,60,66,0
5,21,2,1,52,60,32,22000
5,17,1,2,,,34,0
3,12,1,1,,,49,0
2,19,2,1,,,93,0
5,19,1,9,,,31,0
3,20,2,1,,,47,0
5,15,1,9,16,25,25,6800
5,19,1,1,,,68,0
4,11,1,1,20,25,45,6000
5,16,1,8,,,32,0
1,16,1,8,,,41,0
5,22,2,9,3,20,24,10000
5,18,1,9,12,18,19,2700
5,16,1,1,1,30,19,6000
3,16,2,1,,,31,0
5,24,1,6,,,37,0
2,19,2,1,,,87,0
5,16,1,1,4,30,18,3200
5,7,1,1,,,11,
5,16,1,1,,,18,0
3,15,2,1,,,58,0
5,20,1,1,,,58,0
5,17,1,1,52,50,38,45000
5,19,1,1,22,40,27,20000
5,17,1,1,,,51,0
1,23,1,1,,,93,0
5,19,1,1,4,20,19,4000
3,16,1,1,,,47,0
5,16,1,9,52,63,20,39000
5,16,2,1,,,65,0
5,1,2,1,,,66,0
5,11,1,8,,,14,
3,16,1,9,,,81,0
1,1,1,8,,,60,0
3,20,2,1,,,47,0
5,19,1,1,26,30,18,10000
4,14,1,1,,,32,0
5,16,1,1,1,40,21,5000
3,16,2,1,,,78,0
1,19,1,3,52,55,25,24000
5,19,1,1,1,16,18,150
5,19,2,2,,,40,0
5,16,2,6,,,17,0
1,18,2,1,52,5,19,540
1,9,1,8,52,52,55,25000
5,17,2,8,,,17,0
5,16,1,1,,,33,0
2,11,2,1,,,93,0
5,18,1,1,,,18,0
2,16,2,1,,,86,0
5,13,1,9,30,40,17,15000
3,19,1,1,,,93,0
5,19,1,9,,,33,0
5,19,2,6,11,18,19,130
1,21,1,9,,,84,0
2,19,1,1,,,93,0
5,13,1,1,,,67,0
2,16,1,1,,,93,0
5,19,2,1,10,12,19,1100
5,16,1,1,,,50,0
5,19,2,1,2,9,20,2500
5,16,1,5,52,50,20,21000
2,17,2,1,,,75,0
2,20,2,1,,,93,0
3,18,2,1,,,93,0
2,16,2,1,,,81,0
5,16,1,1,,,33,0
3,19,2,1,,,74,0
3,20,2,1,,,47,0
5,16,1,7,,,33,0
5,19,1,9,8,20,19,1500
5,19,1,2,26,40,23,19100
5,20,1,1,16,10,19,2000
5,22,1,1,52,40,93,61000
1,19,2,8,52,45,35,73000
5,16,1,2,,,24,0
5,18,2,3,,,19,0
5,18,1,1,,,56,0
1,18,2,1,,,51,0
1,18,2,1,,,93,0
5,16,1,1,52,46,21,8800
5,16,1,2,,,41,0
5,16,1,1,,,61,0
5,16,2,1,,,55,0
5,13,2,1,,,61,0
2,16,2,6,,,87,0
5,6,2,1,,,82,0
5,19,1,1,25,10,19,2000
2,16,2,1,,,93,0
5,21,2,9,45,8,24,4200
2,16,2,1,,,93,0
1,13,1,1,,,54,0
2,21,2,6,,,93,0
5,21,2,1,,,88,0
5,16,1,6,52,40,23,18400
5,18,2,1,1,10,19,1500
2,16,2,1,,,69,0
5,18,1,1,,,62,0
5,13,1,8,52,18,29,2000
2,20,1,1,,,72,0
5,19,1,6,2,5,20,3000
3,19,1,1,3,30,54,630
4,19,1,1,,,74,0
5,12,1,1,52,40,56,12000
5,6,2,1,,,82,0
5,16,2,1,52,39,18,6000
5,19,2,1,30,40,20,14000
5,12,1,1,52,40,56,12000
5,16,1,1,52,30,22,30000
5,19,2,1,1,16,20,2000
5,18,2,1,,,72,0
5,19,2,1,,,21,0
3,1,2,1,,,93,0
5,13,1,1,,,58,0
5,16,2,1,,,55,0
5,19,1,1,52,20,21,21600
5,16,1,2,,,33,0
5,16,1,1,,,58,0
1,18,2,1,,,93,0
3,16,1,1,,,82,0
5,16,1,1,,,24,0
1,22,2,6,,,85,0
5,16,1,1,1,2,21,420
3,12,1,1,,,49,0
2,16,2,1,,,70,0
5,14,1,1,,,40,0
2,16,1,1,,,87,0
5,13,1,1,52,14,73,10000
3,16,1,1,,,41,0
5,19,2,1,19,30,19,8300
5,19,1,2,52,60,28,25000
5,18,2,6,,,18,0
3,16,2,1,,,63,0
5,6,2,1,,,82,0
5,21,1,1,,,70,0
1,19,2,1,,,71,0
5,21,2,1,,,66,0
2,19,2,6,,,93,0
5,17,1,2,26,25,24,8300
5,16,1,1,,,21,0
1,19,2,1,,,30,0
2,16,1,1,,,84,0
1,19,1,1,,,71,0
5,16,1,1,52,3,19,2000
1,16,2,1,,,75,0
5,19,2,6,1,6,19,890
5,16,1,1,,,28,0
1,19,2,6,,,25,0
5,18,2,1,8,3,18,300
5,16,1,2,,,29,0
1,22,1,1,,,93,0
5,22,1,1,,,85,0
5,16,2,1,1,10,18,1400
1,22,1,1,20,40,39,5000
1,21,1,1,,,93,0
5,16,1,9,52,63,20,39000
5,18,1,8,12,10,19,1800
5,17,2,8,,,17,0
